channel_title,category_name,total_videos,avg_views,avg_engagement,total_views,percentage
APGREiD,Science & Technology,1,121534.0,0.45,121534,100.0
APSTON,Music,1,23370.0,7.13,23370,100.0
AQUISI,Entertainment,1,132042.0,9.11,132042,100.0
AQUISI blox,Gaming,1,126151.0,6.33,126151,100.0
AR7 YT,Gaming,1,44383.0,12.43,44383,100.0
ARC Raiders,Gaming,1,476565.0,4.31,476565,100.0
ARD Marktcheck,Education,1,564191.0,1.7,564191,100.0
ARM Hov,Gaming,1,82942.0,7.52,82942,100.0
ARTEde,Entertainment,1,160428.0,2.91,160428,100.0
ARY Digital HD,Entertainment,2,16354093.0,1.66,32708186,100.0
ASM ACTUALITÉS ,People & Blogs,2,999571.0,3.41,1999142,100.0
ASTUCE REACT,People & Blogs,1,174020.0,1.23,174020,100.0
ATAKCI⚡,People & Blogs,1,1682613.0,1.99,1682613,100.0
ATE CHUET ,Education,1,105636.0,4.16,105636,100.0
ATHLETES,Sports,1,1094576.0,2.76,1094576,100.0
ATK,Entertainment,2,8862778.5,4.24,17725557,100.0
ATO AFRICA TV,People & Blogs,1,556844.0,3.7,556844,100.0
ATTAKATHI,Entertainment,1,1430012.0,3.84,1430012,100.0
ATouchOfClassVEVO,Music,2,1237013.0,0.51,2474026,100.0
AURA 58,People & Blogs,1,866183.0,1.57,866183,100.0
AUTOBOUTIQUE 1/4 DE MILLA,Autos & Vehicles,1,22624.0,6.28,22624,100.0
AUTOLACKAFFEN,Autos & Vehicles,1,1550690.0,2.13,1550690,100.0
AVANTE MEU TRICOLOR - SÃO PAULO FUTEBOL CLUBE,Sports,1,216579.0,4.85,216579,100.0
AVIMESTO | Домашние кинозалы и кинотеатры,Science & Technology,1,323154.0,0.87,323154,100.0
AVTO STORE 333,People & Blogs,1,575206.0,0.83,575206,100.0
AVentura Aqui,People & Blogs,1,17356.0,6.53,17356,100.0
AWARIZ,Gaming,1,52867.0,5.47,52867,100.0
AXP HABIB 150K,Music,7,46179432.57,1.23,323256028,100.0
Aadhan Cinema,Entertainment,1,199297.0,6.84,199297,100.0
Aaj Tak,News & Politics,2,227245.0,0.94,454490,100.0
Aakash Chopra,Sports,1,534630.0,4.05,534630,100.0
Aanganwadi Ke Bacche,Comedy,1,3852978.0,1.1,3852978,100.0
Aardhya jha Tunes,People & Blogs,1,81886.0,0.55,81886,100.0
Aarif's MindVoice,People & Blogs,1,1724745.0,4.75,1724745,100.0
Aaron - Animaux,Pets & Animals,1,235959.0,4.18,235959,100.0
Aaron Parnas,People & Blogs,3,462202.67,12.34,1386608,100.0
Aary Vlogs,People & Blogs,3,224579.0,3.22,673737,100.0
Aashish Yadav - Topic,Music,1,231103.0,6.59,231103,100.0
Aashish Yadav Entertainment,Music,142,5737410.1,1.94,814712234,100.0
Aashna Unnie,Entertainment,1,188754.0,6.84,188754,100.0
Abbude,Music,1,180065.0,2.68,180065,100.0
Abderrahim El Manar Esslimi,Entertainment,1,152667.0,8.6,152667,100.0
Abduqodir Husanov,Sports,1,1073950.0,0.98,1073950,100.0
Abhilakh Kushwah,People & Blogs,3,9900674.67,1.63,29702024,100.0
Abi Army,Gaming,1,365308.0,4.19,365308,100.0
Abigail 1,Entertainment,3,1601646.0,12.47,4804938,100.0
Abram Engle,Entertainment,1,329821.0,13.19,329821,100.0
Abrazkhan - ck91,Entertainment,1,691445.0,4.56,691445,100.0
AbsurdChill76,Entertainment,1,829129.0,1.4,829129,100.0
Abubakar Abdullahi,People & Blogs,1,1448165.0,1.88,1448165,100.0
Abuloris ,Entertainment,1,299372.0,4.17,299372,100.0
AcademeG,Autos & Vehicles,1,1040580.0,4.53,1040580,100.0
AcademeG DailyStream,Pets & Animals,1,307449.0,5.75,307449,100.0
Academia da Funilaria,People & Blogs,1,747214.0,3.4,747214,100.0
Accurate Anime yt,People & Blogs,1,6241212.0,1.36,6241212,100.0
Achados & Perdidos,Entertainment,1,71429.0,5.2,71429,100.0
Achapi【あちゃぴ】,Gaming,1,9781.0,2.46,9781,100.0
Achayan Army Family,Entertainment,2,2329396.0,0.97,4658792,100.0
Ache,Gaming,1,35771.0,0.81,35771,100.0
AchismosTV,Comedy,1,358908.0,8.03,358908,100.0
"Achtung, Reichelt!",News & Politics,1,152676.0,10.25,152676,100.0
Achyutha saddikuti,Music,1,778755.0,2.02,778755,100.0
Act Man TV,Gaming,2,257435.5,6.11,514871,100.0
Activatica (Активатика),Nonprofits & Activism,1,223938.0,1.33,223938,100.0
Actu Réfractaire,News & Politics,1,19359.0,15.14,19359,100.0
Actu Zone Fr,People & Blogs,2,475860.0,4.14,951720,100.0
Actu- Nova,People & Blogs,1,194090.0,2.89,194090,100.0
Actualité en temps réel,News & Politics,1,46301.0,3.95,46301,100.0
ActuallyVen,Entertainment,6,2457220.0,6.07,14743320,100.0
Adair,Entertainment,1,83842.0,1.15,83842,100.0
Adam Kinzinger,News & Politics,2,67007.0,9.85,134014,100.0
Adam LZ,Autos & Vehicles,2,329640.0,7.56,659280,100.0
Adam Mockler,News & Politics,3,772686.0,8.71,2318058,100.0
Adam Rose,People & Blogs,1,19307702.0,2.15,19307702,100.0
Adam Tiaiba,Entertainment,1,489476.0,4.48,489476,100.0
AdamC3046,Autos & Vehicles,1,127417.0,2.02,127417,100.0
AdamCWM,Entertainment,2,13608181.5,3.89,27216363,100.0
Adarsh Solanki,Entertainment,2,11605926.5,2.64,23211853,100.0
Ade hogar,People & Blogs,1,33079.0,9.36,33079,100.0
Adeeba Naaz,People & Blogs,1,488815.0,5.38,488815,100.0
Adeh FC,People & Blogs,1,603356.0,11.86,603356,100.0
Adeliia Petrosian Updates,People & Blogs,1,302847.0,3.53,302847,100.0
Adeline Camargo,Travel & Events,1,92764.0,16.75,92764,100.0
Adem Ramadani,Music,1,813187.0,0.73,813187,100.0
Ademar Score,People & Blogs,1,669798.0,2.43,669798,100.0
Adeola Fayehun,News & Politics,1,98074.0,3.33,98074,100.0
AdiSpot,Gaming,1,410498.0,1.19,410498,100.0
Adithya TV,People & Blogs,1,2610436.0,3.97,2610436,100.0
Aditya Music,Entertainment,14,5190.5,0.98,72667,2.8
Aditya Music,Music,486,127569.45,1.13,61998752,97.2
Aditya Samrat Official,Music,1,295179.0,4.02,295179,100.0
Adlan Atos,Entertainment,1,1516401.0,4.93,1516401,100.0
Adorable Caro,Entertainment,1,41054.0,4.36,41054,100.0
Adorart - Topic,Music,60,37364.18,2.75,2241851,100.0
Adrenaline,Science & Technology,2,311454.0,15.11,622908,100.0
Adrian Amaru Shorts,Entertainment,2,602202.5,4.7,1204405,100.0
Adrian Godoy,People & Blogs,3,736072.0,1.9,2208216,100.0
Adrian_cqrt,Comedy,1,332020.0,9.15,332020,100.0
Adriano Operador ,People & Blogs,3,205071.0,2.91,615213,100.0
Adrielson ,People & Blogs,1,1569512.0,4.74,1569512,100.0
Adventures With Purpose,People & Blogs,4,914602.25,1.3,3658409,100.0
AestheticsAI,Sports,1,1883845.0,1.45,1883845,100.0
Aficionado Football,Sports,1,625739.0,3.4,625739,100.0
Afreim Vlogs,People & Blogs,1,32668.0,9.62,32668,100.0
Afterlife's Media,People & Blogs,1,2705887.0,4.08,2705887,100.0
Agif Aliev,People & Blogs,1,437438.0,1.69,437438,100.0
Agit Kabayel,People & Blogs,1,219851.0,2.43,219851,100.0
Aguilas Primero,Sports,1,40962.0,3.3,40962,100.0
Ah Barbaro,People & Blogs,2,186544.0,5.02,373088,100.0
Ahmad Fakhouri,Entertainment,2,316732.0,3.93,633464,100.0
Ahmed Amwell Clips,People & Blogs,1,226326.0,3.02,226326,100.0
Ai Vision,People & Blogs,1,1537288.0,2.54,1537288,100.0
Ai with Rana imam,People & Blogs,7,12973230.14,1.81,90812611,100.0
AidenManEdits,Autos & Vehicles,3,2188357.67,4.21,6565073,100.0
AidenShow,Gaming,1,2269.0,10.8,2269,100.0
Aidons nous ,People & Blogs,1,369095.0,1.63,369095,100.0
Aikido Shinburenseijuku - 合気道神武錬成塾,Sports,1,581085.0,1.34,581085,100.0
Aileen,People & Blogs,1,88113.0,6.99,88113,100.0
Ailton Oficial,People & Blogs,2,2036207.5,1.37,4072415,100.0
Air Exxion,People & Blogs,1,52893.0,4.84,52893,100.0
Airsoft_Dudes,Gaming,1,155918.0,3.06,155918,100.0
Ajay Hooda,Music,1,6630424.0,2.82,6630424,100.0
Ajay Stephen,Entertainment,1,30240.0,4.07,30240,100.0
Ajaz Ali 11,People & Blogs,1,1434857.0,6.85,1434857,100.0
Ajeet Experiment ,Science & Technology,2,4086364.0,1.97,8172728,100.0
Ajith Buddy Malayalam,Science & Technology,1,86247.0,3.77,86247,100.0
Aju bongo,Entertainment,1,903007.0,5.8,903007,100.0
Akaash Singh,Comedy,1,941828.0,4.18,941828,100.0
Akash Music ,Music,1,1484281.0,0.89,1484281,100.0
Akemi Hata,People & Blogs,1,1888037.0,2.08,1888037,100.0
Akeone,People & Blogs,1,853853.0,10.29,853853,100.0
Akftbl_014,People & Blogs,2,2843570.0,2.88,5687140,100.0
